CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240
  477, 2,1,6,6,6, 1,6,6,6,6
  478, 6,6,6,6,6,96,6,6,6,6
  479, 2,1,6,6,6, 1,6,6,6,6
  480, 6,6,6,6,6, 7,6,6,6,3
  481, 4,6,6,2,6, 2,1,6,6,6
  482, 2,1,6,6,6, 2,1,6,6,6
  483, 6,6,6,6,6, 6,6,6,6,6
  484, 2,2,6,6,6,97,6,6,6,6
  485, 6,6,6,6,6, 3,6,1,6,6
  486, 6,6,6,6,6, 4,6,6,3,6
  487, 4,6,6,3,6, 4,6,6,4,6
  488, 6,6,6,6,6,96,6,6,6,6
  489, 4,6,6,3,6,96,6,6,6,6
  490, 6,6,6,6,6,96,6,6,6,6
  491, 2,1,6,6,6, 6,6,6,6,6
  492, 4,6,6,3,6, 4,6,6,7,6
  493, 7,6,6,6,2, 7,6,6,6,2
  494, 4,6,6,3,6,96,6,6,6,6
  495, 6,6,6,6,6, 4,6,6,4,6
  496, 6,6,6,6,6,96,6,6,6,6
  497, 2,1,6,6,6,96,6,6,6,6
  498, 6,6,6,6,6,96,6,6,6,6
  499, 1,6,6,6,6, 1,6,6,6,6
  500, 2,1,6,6,6, 2,1,6,6,6
  501, 2,1,6,6,6,96,6,6,6,6
  502, 6,6,6,6,6, 6,6,6,6,6
  503, 4,6,6,3,6, 2,2,6,6,6
  504, 2,1,6,6,6, 2,1,6,6,6
  505,99,6,2,6,6,96,6,6,6,6
  506, 6,6,6,6,6,96,6,6,6,6
  507, 3,6,1,6,6, 5,6,6,6,6
  508, 4,6,6,1,6, 2,1,6,6,6
  509, 3,6,2,6,6,96,6,6,6,6
  510, 3,6,1,6,6, 4,6,6,3,6
  511, 6,6,6,6,6,96,6,6,6,6
  512, 4,6,6,4,6,96,6,6,6,6
  513, 4,6,6,3,6,96,6,6,6,6
  514, 2,1,6,6,6,96,6,6,6,6
  515, 6,6,6,6,6,96,6,6,6,6
  516, 5,6,6,6,6, 7,6,6,6,3
  517, 2,1,6,6,6,96,6,6,6,6
  518, 6,6,6,6,6, 6,6,6,6,6
  519, 6,6,6,6,6, 6,6,6,6,6
  520, 1,6,6,6,6,96,6,6,6,6
  521, 6,6,6,6,6, 4,6,6,4,6
  522, 4,6,6,4,6, 7,6,6,6,4
  523, 2,2,6,6,6, 2,1,6,6,6
  524, 4,6,6,4,6,96,6,6,6,6
  525, 4,6,6,2,6,96,6,6,6,6
  526, 4,6,6,3,6,96,6,6,6,6
  527, 2,1,6,6,6, 2,1,6,6,6
  528, 4,6,6,3,6, 4,6,6,4,6
  529, 6,6,6,6,6, 2,1,6,6,6
  530, 2,1,6,6,6, 3,6,2,6,6
  531, 2,1,6,6,6,96,6,6,6,6
  532, 1,6,6,6,6, 1,6,6,6,6
  533, 3,6,1,6,6, 4,6,6,3,6
  534, 6,6,6,6,6, 6,6,6,6,6
  535, 2,7,6,6,6,96,6,6,6,6
  536, 7,6,6,6,3, 4,6,6,4,6
  537,99,6,6,6,6,97,6,6,6,6
  538, 3,6,2,6,6,96,6,6,6,6
  539, 4,6,6,3,6,96,6,6,6,6
  540, 4,6,6,3,6,96,6,6,6,6
  541, 5,6,6,6,6,96,6,6,6,6
  542, 2,1,6,6,6, 4,6,6,4,6
  543, 2,1,6,6,6,96,6,6,6,6
  544, 6,6,6,6,6, 4,6,6,4,6
  545, 7,6,6,6,3, 4,6,6,3,6
  546, 5,6,6,6,6, 2,1,6,6,6
  547, 6,6,6,6,6,96,6,6,6,6
  548, 4,6,6,3,6, 4,6,6,3,6
  549, 4,6,6,4,6,96,6,6,6,6
  550, 4,6,6,4,6,96,6,6,6,6
  551, 2,1,6,6,6,98,6,6,6,6
  552, 2,1,6,6,6, 4,6,6,3,6
  553, 6,6,6,6,6, 4,6,6,4,6
  554, 4,6,6,3,6, 4,6,6,3,6
  555, 3,6,1,6,6, 6,6,6,6,6
